Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,19.330000,20.730000,19.330000,20.299999,18.521395,0
2013-06-01,20.320000,20.459999,19.410000,20.070000,18.311544,0
2013-07-01,20.309999,21.480000,20.280001,21.410000,19.534142,0
2013-08-01,21.719999,21.719999,20.510000,20.510000,18.712996,0
2013-09-01,20.540001,21.740000,20.540001,21.600000,19.707497,0
2013-10-01,21.870001,22.680000,21.150000,22.440001,20.473894,0
2013-11-01,22.450001,23.120001,22.120001,23.110001,21.085199,0
2013-12-01,22.990000,23.330000,22.590000,23.330000,21.285919,0
2014-01-01,23.090000,23.559999,22.510000,22.670000,21.041203,0
2014-02-01,21.959999,23.809999,21.959999,23.809999,22.099293,0
2014-03-01,23.660000,24.190001,23.610001,24.120001,22.387022,0
2014-04-01,24.360001,24.469999,23.260000,23.840000,22.130804,0
2014-05-01,23.870001,24.250000,23.530001,24.219999,22.483561,0
2014-06-01,24.250000,25.260000,24.230000,25.260000,23.448996,0
2014-07-01,25.469999,25.530001,24.070000,24.070000,22.344311,0
2014-08-01,24.020000,25.309999,24.020000,25.309999,23.495409,0
2014-09-01,25.410000,25.410000,23.879999,23.879999,22.167936,0
2014-10-01,23.570000,25.059999,22.690001,25.059999,23.263334,0
2014-11-01,25.059999,25.590000,24.940001,25.330000,23.513975,0
2014-12-01,24.980000,25.690001,24.410000,25.340000,23.523262,0
2015-01-01,25.270000,25.270000,24.290001,24.500000,23.117266,0
2015-02-01,24.770000,26.010000,24.770000,25.900000,24.438251,0
2015-03-01,26.080000,26.400000,25.260000,26.200001,24.721321,0
2015-04-01,26.160000,26.570000,25.870001,25.870001,24.425671,0
2015-05-01,26.049999,26.520000,25.820000,26.219999,24.756130,0
2015-06-01,26.240000,26.730000,25.820000,25.840000,24.397345,0
2015-07-01,25.969999,26.160000,24.959999,25.580000,24.151861,0
2015-08-01,25.480000,25.680000,23.129999,24.350000,22.990534,0
2015-09-01,23.660000,24.650000,22.920000,23.230000,21.933064,0
2015-10-01,23.200001,24.940001,23.200001,24.760000,23.626186,0
2015-11-01,25.190001,25.250000,24.160000,25.090000,23.941072,0
2015-12-01,25.270000,25.270000,23.420000,23.690001,22.605183,0
2016-01-01,23.340000,23.370001,21.090000,22.160000,21.298864,0
2016-02-01,22.139999,22.540001,20.870001,22.510000,21.635263,0
2016-03-01,22.930000,24.430000,22.930000,24.430000,23.480654,0
2016-04-01,24.459999,25.309999,23.820000,24.930000,24.043749,0
2016-05-01,25.100000,25.290001,24.250000,25.290001,24.390951,0
2016-06-01,25.410000,25.940001,23.870001,25.240000,24.342728,0
2016-07-01,25.330000,26.420000,24.940001,26.420000,25.550049,0
2016-08-01,26.299999,26.760000,26.000000,26.610001,25.733795,0
2016-09-01,26.559999,26.990000,25.809999,26.540001,25.666100,0
2016-10-01,26.379999,26.430000,25.610001,25.740000,25.035803,0
2016-11-01,25.459999,28.590000,25.180000,28.379999,27.603580,0
2016-12-01,28.360001,29.740000,28.360001,29.000000,28.206617,0
2017-01-01,29.219999,29.670000,28.959999,29.190001,28.566532,0
2017-02-01,29.150000,30.209999,29.139999,29.790001,29.153719,0
2017-03-01,30.309999,30.309999,28.820000,29.450001,28.820978,0
2017-04-01,29.180000,29.990000,28.700001,29.580000,29.053907,0
2017-05-01,29.650000,29.650000,28.559999,28.879999,28.366358,0
2017-06-01,29.370001,29.889999,29.110001,29.480000,28.955687,0
2017-07-01,29.760000,30.190001,29.209999,29.760000,29.322184,0
2017-08-01,29.830000,29.830000,28.540001,29.330000,28.898508,0
2017-09-01,29.510000,30.629999,29.080000,30.629999,30.179384,0
2017-10-01,30.940001,31.059999,30.740000,30.889999,30.576012,0
2017-11-01,30.820000,31.860001,30.360001,31.860001,31.536154,0
2017-12-01,31.790001,32.060001,31.309999,31.820000,31.496559,0
2018-01-01,32.070000,33.160000,32.070000,32.450001,32.321022,0
2018-02-01,32.490002,32.490002,30.049999,30.900000,30.777180,0
2018-03-01,30.799999,32.250000,30.360001,31.030001,30.906664,0
2018-04-01,30.340000,31.820000,30.340000,31.139999,31.139999,0
2018-05-01,31.180000,32.139999,31.059999,32.139999,32.139999,0
