Date,Open,High,Low,Close,Adj Close,Volume
2015-04-21,165.649994,165.699997,163.619995,164.000000,152.101456,1970500
2015-04-22,163.809998,164.889999,162.570007,164.669998,152.722839,2228800
2015-04-23,159.539993,161.449997,158.610001,159.660004,148.076355,5704500
2015-04-24,159.809998,159.809998,157.850006,158.990005,147.454956,3043500
2015-04-27,159.479996,160.070007,157.809998,157.979996,146.518219,3448800
2015-04-28,157.690002,158.360001,156.179993,158.330002,146.842850,3387900
2015-04-29,157.419998,157.929993,156.179993,156.970001,145.581528,3078600
2015-04-30,156.820007,157.919998,156.009995,156.389999,145.043564,3510200
2015-05-01,156.789993,158.089996,156.789993,157.679993,146.239975,2160100
2015-05-04,158.399994,159.850006,157.880005,159.020004,147.482803,2240300
2015-05-05,158.860001,159.449997,157.410004,157.910004,146.453308,1947700
2015-05-06,157.919998,159.080002,156.550003,157.639999,146.202896,2203100
2015-05-07,157.229996,159.199997,157.229996,158.610001,147.102524,2112900
2015-05-08,160.250000,161.399994,160.059998,160.600006,148.948120,2025500
2015-05-11,160.259995,161.000000,159.800003,159.899994,148.298935,1708700
2015-05-12,158.710007,160.399994,158.009995,160.070007,148.456604,1864800
2015-05-13,160.429993,161.740005,160.360001,161.309998,149.606628,2587900
2015-05-14,162.089996,163.300003,161.800003,163.149994,151.313141,2462500
2015-05-15,163.149994,163.770004,162.649994,163.300003,151.452240,1923800
2015-05-18,163.000000,163.589996,162.309998,162.869995,151.053421,1747800
2015-05-19,163.070007,163.589996,162.550003,163.119995,151.285309,2075100
2015-05-20,162.419998,163.070007,161.839996,161.899994,151.103302,1978100
2015-05-21,161.899994,162.350006,161.800003,162.059998,151.252640,2400800
2015-05-22,161.990005,162.330002,160.660004,160.979996,150.244644,1822700
2015-05-26,160.979996,161.320007,159.039993,159.589996,148.947342,2471100
2015-05-27,159.820007,161.309998,159.529999,161.020004,150.281982,2625900
2015-05-28,160.350006,160.889999,159.610001,160.869995,150.141983,1578100
2015-05-29,160.440002,160.789993,158.740005,159.080002,148.471344,2875400
2015-06-01,159.100006,159.759995,158.570007,158.979996,148.378052,1906100
2015-06-02,158.279999,159.880005,157.949997,159.080002,148.471344,2481100
2015-06-03,159.610001,160.500000,158.979996,160.160004,149.479355,2074500
2015-06-04,159.509995,160.380005,158.089996,158.350006,147.790070,2237600
2015-06-05,157.500000,157.970001,156.970001,157.080002,146.604721,2314800
2015-06-08,156.500000,157.410004,156.300003,156.589996,146.147415,1589400
2015-06-09,156.850006,158.259995,156.600006,156.979996,146.511414,1810800
2015-06-10,156.949997,159.570007,156.949997,159.039993,148.434052,1758900
2015-06-11,159.119995,160.360001,159.000000,159.860001,149.199326,1854200
2015-06-12,159.850006,159.990005,157.880005,158.039993,147.500717,1910500
2015-06-15,157.080002,157.320007,155.389999,155.869995,145.475388,2353100
2015-06-16,155.490005,157.039993,155.369995,156.490005,146.054062,1729300
2015-06-17,156.600006,157.589996,155.750000,156.949997,146.483414,1839400
2015-06-18,157.589996,160.240005,157.389999,159.619995,148.975342,2528900
2015-06-19,159.360001,159.880005,158.940002,158.949997,148.350067,3287200
2015-06-22,159.850006,160.699997,159.449997,159.679993,149.031342,1447400
2015-06-23,160.410004,160.869995,159.509995,159.839996,149.180679,2286400
2015-06-24,159.679993,159.960007,157.539993,157.539993,147.034027,2862900
2015-06-25,157.850006,158.320007,155.919998,155.919998,145.522079,2564000
2015-06-26,156.160004,157.990005,155.929993,157.089996,146.614090,2625500
2015-06-29,155.919998,156.440002,153.919998,153.949997,143.683441,2475000
2015-06-30,155.000000,155.300003,154.070007,154.300003,144.010117,2561000
2015-07-01,156.130005,156.429993,154.660004,155.649994,145.270096,1726800
2015-07-02,156.080002,156.080002,154.899994,155.380005,145.018097,2022400
2015-07-06,153.889999,155.580002,153.830002,155.080002,144.738144,2172200
2015-07-07,155.139999,155.630005,153.160004,155.429993,145.064758,2865300
2015-07-08,154.080002,154.500000,152.699997,152.710007,142.526184,2613300
2015-07-09,154.589996,155.500000,153.750000,153.750000,143.496811,2069200
2015-07-10,154.740005,155.860001,154.500000,154.949997,144.616791,2061300
2015-07-13,156.419998,156.770004,155.649994,156.470001,146.035446,2107200
2015-07-14,156.490005,157.080002,156.279999,156.779999,146.324753,1811400
2015-07-15,156.570007,157.000000,155.899994,156.000000,145.596756,1786100
2015-07-16,157.580002,157.940002,156.690002,157.169998,146.688751,2023900
2015-07-17,156.500000,157.369995,156.429993,156.690002,146.240753,2429000
2015-07-20,156.770004,157.649994,156.270004,157.119995,146.642059,2349000
2015-07-21,156.750000,157.179993,155.339996,155.759995,145.372772,2743900
2015-07-22,155.589996,156.309998,154.440002,155.410004,145.046097,3067700
2015-07-23,151.919998,153.690002,149.020004,149.500000,139.530228,5176400
2015-07-24,148.860001,150.800003,148.699997,149.330002,139.371582,3433600
2015-07-27,148.639999,149.000000,147.699997,148.710007,138.792908,3117600
2015-07-28,148.850006,151.720001,148.320007,151.110001,141.032867,3277700
2015-07-29,151.440002,151.690002,150.710007,151.449997,141.350204,2176900
2015-07-30,151.000000,151.729996,150.330002,151.570007,141.462219,2119100
2015-07-31,152.529999,152.809998,151.029999,151.339996,141.247543,1619600
2015-08-03,150.789993,151.779999,148.940002,150.119995,140.108887,2355100
2015-08-04,150.929993,151.539993,150.110001,150.399994,140.370193,1811900
2015-08-05,151.850006,153.240005,150.919998,151.009995,140.939529,1765600
2015-08-06,150.889999,151.220001,148.899994,149.259995,139.306244,1764800
2015-08-07,148.479996,150.000000,148.160004,148.889999,138.960892,1668700
2015-08-10,150.000000,151.399994,149.889999,151.240005,141.154190,1571800
2015-08-11,150.000000,150.000000,148.259995,148.479996,138.578262,1804500
2015-08-12,147.240005,148.710007,146.070007,148.520004,138.615585,2036700
2015-08-13,148.000000,148.559998,147.080002,147.399994,137.570282,1793100
2015-08-14,147.660004,148.509995,147.320007,148.279999,138.391602,1401900
2015-08-17,147.429993,149.309998,146.360001,149.240005,139.287567,1648900
2015-08-18,148.630005,148.919998,147.880005,148.309998,138.419601,1705500
2015-08-19,146.199997,147.550003,145.279999,145.869995,137.089737,2525700
2015-08-20,144.509995,144.869995,143.339996,143.350006,134.721451,3281700
2015-08-21,143.520004,145.320007,141.919998,142.089996,133.537277,5442000
2015-08-24,137.119995,142.089996,134.000000,138.580002,130.238556,7359500
2015-08-25,141.860001,142.059998,137.389999,137.639999,129.355164,5435900
2015-08-26,140.000000,142.789993,138.529999,142.720001,134.129364,4562200
2015-08-27,143.750000,144.949997,141.330002,143.899994,135.238327,4104600
2015-08-28,143.020004,144.320007,142.800003,144.210007,135.529694,2664100
2015-08-31,143.000000,143.830002,142.020004,142.139999,133.584290,2473100
2015-09-01,139.479996,140.490005,137.940002,138.500000,130.163391,3671400
2015-09-02,140.539993,141.240005,139.240005,141.240005,132.738464,3312700
2015-09-03,141.940002,142.899994,141.309998,141.740005,133.208374,2606200
2015-09-04,139.940002,140.669998,139.160004,139.839996,131.422729,3195800
2015-09-08,142.050003,143.550003,141.520004,143.429993,134.796631,2432900
2015-09-09,144.860001,145.350006,140.570007,140.860001,132.381348,2629200
2015-09-10,141.000000,141.910004,140.149994,140.779999,132.306137,2031200
2015-09-11,140.610001,141.330002,139.770004,141.259995,132.757233,2505200
2015-09-14,141.520004,141.580002,140.029999,140.809998,132.334335,2277200
2015-09-15,141.559998,143.839996,141.039993,143.600006,134.956436,2685900
2015-09-16,143.509995,144.460007,143.210007,144.199997,135.520264,2060300
2015-09-17,143.809998,145.550003,142.520004,142.949997,134.345520,2855100
2015-09-18,141.169998,141.300003,139.210007,139.619995,131.215973,6483600
2015-09-21,140.500000,141.080002,139.350006,140.039993,131.610672,2492600
2015-09-22,138.270004,138.509995,137.250000,138.020004,129.712296,2775300
2015-09-23,138.529999,138.899994,136.860001,137.660004,129.373962,2684500
2015-09-24,136.630005,138.029999,135.389999,137.580002,129.298752,2690300
2015-09-25,139.619995,140.119995,138.570007,139.559998,131.159592,3767200
2015-09-28,138.300003,139.699997,138.300003,138.380005,130.050598,3468900
2015-09-29,138.619995,142.160004,138.429993,141.550003,133.029800,4946000
2015-09-30,142.520004,143.229996,140.500000,141.770004,133.236526,3453600
2015-10-01,142.210007,142.500000,139.580002,140.800003,132.324951,2486300
2015-10-02,139.080002,143.300003,138.570007,143.199997,134.580475,3064400
2015-10-05,144.300003,146.600006,143.630005,146.320007,137.512665,2987200
2015-10-06,145.990005,146.639999,145.399994,145.789993,137.014587,2256800
2015-10-07,146.740005,148.539993,146.130005,147.539993,138.659241,1954000
2015-10-08,146.649994,149.559998,146.589996,149.479996,140.482452,2008800
2015-10-09,149.559998,150.649994,149.300003,149.899994,140.877182,2294000
2015-10-12,150.259995,150.559998,149.539993,150.059998,141.027573,1429300
2015-10-13,148.910004,150.000000,148.729996,149.110001,140.134750,2027600
2015-10-14,149.000000,149.660004,148.179993,148.320007,139.392303,2260300
2015-10-15,149.639999,149.880005,148.020004,149.190002,140.209930,2588500
2015-10-16,149.770004,149.779999,147.479996,148.699997,139.749420,2490300
2015-10-19,147.970001,148.419998,147.229996,148.000000,139.091553,2004200
2015-10-20,147.449997,149.669998,147.130005,149.110001,140.134750,2404700
2015-10-21,149.500000,151.389999,148.899994,149.820007,140.802002,3009900
2015-10-22,151.339996,157.039993,150.649994,156.000000,146.609985,5111900
2015-10-23,156.539993,157.190002,154.500000,155.789993,146.412659,2997400
2015-10-26,156.059998,156.759995,155.639999,156.539993,147.117493,2136100
2015-10-27,156.000000,157.000000,155.080002,156.729996,147.296066,1970100
2015-10-28,156.490005,158.330002,156.199997,158.080002,148.564819,2724700
2015-10-29,157.750000,157.910004,156.880005,157.610001,148.123093,1448200
2015-10-30,157.800003,158.679993,157.210007,157.210007,147.747192,2672100
2015-11-02,157.509995,160.089996,157.339996,159.919998,150.294083,2701800
2015-11-03,159.479996,159.800003,158.669998,158.750000,149.194489,2972800
2015-11-04,159.000000,159.479996,158.610001,158.910004,149.344864,2254000
2015-11-05,159.380005,159.580002,158.270004,158.990005,149.420074,2023900
2015-11-06,158.020004,159.259995,157.729996,159.259995,149.673782,1860000
2015-11-09,158.669998,158.669998,156.750000,157.470001,147.991531,2421000
2015-11-10,157.229996,157.639999,156.429993,157.589996,148.104294,1962900
2015-11-11,157.860001,159.490005,157.539993,159.050003,149.476440,2518900
2015-11-12,157.779999,158.289993,156.160004,156.300003,146.891968,2305600
2015-11-13,156.000000,156.919998,155.600006,155.649994,146.281082,2434500
2015-11-16,155.610001,158.259995,155.610001,158.210007,148.686996,2395000
2015-11-17,158.360001,158.529999,156.520004,157.029999,147.578003,2393000
2015-11-18,156.179993,157.500000,156.080002,157.389999,148.888199,2226900
2015-11-19,157.630005,158.509995,156.710007,158.380005,149.824738,1518200
2015-11-20,158.679993,159.839996,158.339996,158.949997,150.363937,1891100
2015-11-23,158.899994,159.770004,158.160004,158.649994,150.080139,1430400
2015-11-24,157.369995,158.339996,156.889999,157.750000,149.228760,2100600
2015-11-25,158.059998,158.470001,157.630005,157.630005,149.115219,1184100
2015-11-27,157.509995,158.490005,156.940002,157.990005,149.455811,876100
2015-11-30,158.100006,158.470001,156.570007,156.580002,148.121979,2934200
2015-12-01,156.410004,157.669998,156.169998,156.899994,148.424667,2259000
2015-12-02,156.880005,157.250000,155.509995,155.699997,147.289490,2034700
2015-12-03,156.559998,156.899994,153.710007,154.380005,146.040787,2609500
2015-12-04,154.789993,158.389999,154.570007,158.220001,149.673370,2175800
2015-12-07,157.529999,158.000000,156.809998,157.750000,149.228760,2142800
2015-12-08,156.440002,157.860001,155.679993,156.789993,148.320618,2350400
2015-12-09,156.169998,158.240005,154.940002,156.050003,147.620575,2660800
2015-12-10,155.729996,158.690002,155.589996,157.520004,149.011200,2548200
2015-12-11,155.550003,156.399994,154.419998,154.830002,146.466492,2523200
2015-12-14,155.289993,157.770004,154.339996,157.630005,149.115219,3441100
2015-12-15,151.990005,153.020004,147.080002,148.130005,140.128433,8645900
2015-12-16,148.149994,150.539993,147.740005,149.949997,141.850098,4774100
2015-12-17,150.149994,150.860001,148.830002,148.850006,140.809509,3053900
2015-12-18,148.210007,148.600006,146.759995,146.919998,138.983765,5736400
2015-12-21,147.580002,148.330002,146.690002,147.479996,139.513504,2284400
2015-12-22,148.119995,149.490005,147.279999,148.970001,140.923035,2518900
2015-12-23,149.690002,151.580002,149.520004,151.160004,142.994736,2215300
2015-12-24,150.820007,151.800003,150.580002,151.190002,143.023117,848400
2015-12-28,151.130005,151.770004,150.270004,151.220001,143.051514,1275200
2015-12-29,152.199997,153.259995,152.000000,152.889999,144.631287,1824700
2015-12-30,152.789993,153.699997,151.729996,151.910004,143.704254,1553100
2015-12-31,151.729996,152.119995,150.630005,150.639999,142.502808,1607100
2016-01-04,148.050003,148.320007,145.399994,146.820007,138.889206,3277200
2016-01-05,146.820007,147.500000,145.610001,147.460007,139.494598,2688100
2016-01-06,145.589996,145.759995,143.419998,144.490005,136.685013,2997100
2016-01-07,142.520004,143.130005,140.630005,140.970001,133.355179,3553500
2016-01-08,141.360001,142.500000,140.220001,140.490005,132.901093,2664000
2016-01-11,140.970001,141.429993,139.410004,140.460007,132.872726,2770300
2016-01-12,141.360001,142.149994,139.130005,140.860001,133.251129,2363500
2016-01-13,140.889999,142.190002,138.539993,138.720001,131.226715,2598300
2016-01-14,139.740005,142.440002,138.860001,141.179993,133.553818,3720400
2016-01-15,138.300003,140.100006,137.210007,138.690002,131.198334,4683500
2016-01-19,140.100006,140.800003,137.410004,138.389999,130.914536,3399800
2016-01-20,136.949997,137.750000,134.639999,136.960007,129.561783,4136300
2016-01-21,136.960007,138.669998,136.149994,137.759995,130.318573,3355200
2016-01-22,140.139999,140.429993,138.080002,139.520004,131.983505,2979100
2016-01-25,138.960007,139.369995,137.529999,137.570007,130.138840,2805500
2016-01-26,141.789993,145.020004,140.330002,144.779999,136.959351,5125800
2016-01-27,144.949997,147.970001,144.050003,145.550003,137.687775,3596400
2016-01-28,146.160004,147.839996,145.220001,147.320007,139.362167,3067400
2016-01-29,148.240005,151.000000,148.000000,151.000000,142.843384,3993200
2016-02-01,149.330002,149.789993,148.100006,148.729996,140.695969,2701500
2016-02-02,147.589996,148.279999,146.050003,147.869995,139.882446,3581800
2016-02-03,149.360001,152.850006,148.960007,152.520004,144.281250,5766800
2016-02-04,152.419998,154.380005,151.779999,153.440002,145.151596,3401900
2016-02-05,153.199997,153.880005,151.820007,153.470001,145.179947,3368500
2016-02-08,151.630005,154.429993,151.009995,153.899994,145.586716,2505400
2016-02-09,152.949997,155.759995,152.449997,154.740005,146.381348,2951000
2016-02-10,154.429993,155.490005,152.119995,152.449997,145.257019,2911900
2016-02-11,149.910004,152.000000,149.000000,150.669998,143.560989,3182200
2016-02-12,150.669998,154.070007,150.669998,153.960007,146.695786,2292200
2016-02-16,155.000000,155.899994,154.259995,155.529999,148.191696,2140600
2016-02-17,156.000000,157.130005,155.600006,156.619995,149.230270,2156100
2016-02-18,156.350006,156.970001,155.970001,156.779999,149.382736,2010200
2016-02-19,157.000000,157.089996,155.869995,156.449997,149.068298,2121300
2016-02-22,156.449997,158.479996,156.449997,157.699997,150.259308,2207600
2016-02-23,157.630005,157.690002,155.169998,156.169998,148.801498,1922800
2016-02-24,154.839996,157.619995,153.639999,157.220001,149.801987,1937800
2016-02-25,157.539993,159.000000,157.009995,158.990005,151.488464,1718100
2016-02-26,159.149994,159.500000,158.080002,158.270004,150.802414,1843700
2016-02-29,158.009995,159.119995,156.820007,156.869995,149.468491,1993200
2016-03-01,158.750000,159.699997,157.610001,159.589996,152.060135,2204100
2016-03-02,158.880005,159.880005,158.539993,159.410004,151.888641,1807200
2016-03-03,159.410004,159.690002,158.509995,159.380005,151.860077,1922300
2016-03-04,159.460007,160.289993,158.919998,160.070007,152.517487,1766300
2016-03-07,159.979996,160.570007,158.169998,160.570007,152.993927,2012800
2016-03-08,159.399994,160.610001,159.350006,160.199997,152.641357,2020100
2016-03-09,160.500000,160.779999,159.520004,160.089996,152.536545,1883000
2016-03-10,160.770004,160.800003,158.279999,159.889999,152.345993,1872400
2016-03-11,161.139999,162.050003,160.649994,161.880005,154.242111,1697200
2016-03-14,161.610001,162.770004,161.000000,161.809998,154.175385,1747300
2016-03-15,160.160004,162.500000,159.350006,162.410004,154.747070,1827900
2016-03-16,161.960007,163.300003,161.520004,162.889999,155.204422,1927700
2016-03-17,163.160004,164.360001,162.839996,163.750000,156.023865,2790000
2016-03-18,164.149994,165.330002,163.899994,165.330002,157.529327,5853000
2016-03-21,165.050003,165.309998,164.410004,164.839996,157.062408,2095100
2016-03-22,164.500000,165.500000,164.389999,164.910004,157.129150,2146300
2016-03-23,164.600006,164.990005,163.460007,164.270004,156.519318,2305000
2016-03-24,163.679993,164.539993,163.050003,164.460007,156.700363,1868800
2016-03-28,164.929993,166.649994,164.580002,166.279999,158.434479,2336700
2016-03-29,164.929993,164.990005,163.119995,164.389999,156.633667,2515500
2016-03-30,165.369995,167.220001,165.160004,166.750000,158.882309,2195300
2016-03-31,166.750000,167.500000,166.500000,166.630005,158.767990,1777200
2016-04-01,165.630005,167.740005,164.789993,167.529999,159.625519,2011600
2016-04-04,167.110001,167.490005,165.919998,166.399994,158.548813,2022800
2016-04-05,165.179993,166.550003,164.649994,165.809998,157.986664,1617400
2016-04-06,165.339996,167.080002,164.839996,166.809998,158.939484,2092200
2016-04-07,165.880005,167.229996,165.250000,167.160004,159.272980,2728300
2016-04-08,167.710007,167.990005,166.100006,166.630005,158.767990,1729300
2016-04-11,167.119995,167.960007,166.570007,166.589996,158.729858,1521100
2016-04-12,167.009995,168.399994,166.929993,168.029999,160.101913,1625300
2016-04-13,168.470001,168.899994,167.710007,168.589996,160.635498,1545900
2016-04-14,169.000000,169.000000,167.880005,168.160004,160.225800,1210900
2016-04-15,168.320007,169.000000,168.199997,168.779999,160.816528,1417000
2016-04-18,168.470001,169.869995,168.389999,169.550003,161.550186,1146600
2016-04-19,169.919998,170.770004,169.070007,169.649994,161.645477,1849100
2016-04-20,170.139999,170.449997,168.619995,168.940002,160.969009,1439700
2016-04-21,168.970001,169.699997,168.410004,168.660004,160.702194,1635000
2016-04-22,169.089996,169.759995,167.850006,168.660004,160.702194,1802300
2016-04-25,168.000000,168.509995,166.639999,168.380005,160.435410,2378300
2016-04-26,167.500000,167.789993,164.970001,166.179993,158.339203,3192100
2016-04-27,166.990005,168.380005,166.100006,167.759995,159.844635,2227700
2016-04-28,166.850006,168.770004,166.199997,167.000000,159.120529,1654700
2016-04-29,166.979996,167.779999,166.500000,167.380005,159.482605,1961200
2016-05-02,167.300003,168.500000,166.940002,168.339996,160.397278,1700300
2016-05-03,167.389999,168.070007,166.660004,167.970001,160.044754,1922200
2016-05-04,166.369995,167.699997,166.289993,167.160004,159.272980,2118100
2016-05-05,167.460007,168.330002,167.190002,167.770004,159.854202,1680200
2016-05-06,167.839996,169.050003,167.000000,168.889999,160.921341,1630200
2016-05-09,168.589996,169.050003,167.690002,168.520004,160.568817,1301300
2016-05-10,169.229996,170.389999,169.000000,170.259995,162.226700,1732600
2016-05-11,170.199997,171.270004,169.570007,169.770004,161.759811,1786400
2016-05-12,169.860001,170.630005,168.759995,170.149994,162.121887,1741900
2016-05-13,170.050003,170.380005,167.820007,168.320007,160.378250,1875900
2016-05-16,168.500000,169.899994,168.429993,169.550003,161.550186,1826200
2016-05-17,169.570007,169.940002,167.089996,167.809998,159.892273,2126000
2016-05-18,166.500000,167.929993,165.759995,166.820007,160.007416,1624400
2016-05-19,165.369995,166.059998,163.169998,165.110001,158.367249,1657300
2016-05-20,165.250000,166.470001,164.929993,165.009995,158.271301,1746500
2016-05-23,165.279999,166.559998,164.520004,166.110001,159.326401,1649800
2016-05-24,167.160004,168.789993,166.699997,168.630005,161.743484,1627400
2016-05-25,169.000000,170.360001,168.750000,169.990005,163.047958,1860000
2016-05-26,170.009995,170.770004,168.529999,168.910004,162.012054,1545600
2016-05-27,168.910004,169.029999,168.279999,168.889999,161.992844,1099100
2016-05-31,169.320007,169.750000,167.660004,168.320007,161.446136,2169600
2016-06-01,167.779999,168.929993,167.089996,168.690002,161.801025,1228200
2016-06-02,168.710007,168.710007,167.270004,168.039993,161.177582,1980500
2016-06-03,168.050003,168.660004,167.509995,168.380005,161.503708,1433500
2016-06-06,168.850006,170.589996,168.589996,170.080002,163.134262,1510700
2016-06-07,170.250000,171.490005,170.220001,170.910004,163.930374,1723100
2016-06-08,170.949997,171.929993,170.649994,171.419998,164.419540,1684900
2016-06-09,170.500000,171.470001,169.399994,170.130005,163.182220,2208800
2016-06-10,169.270004,169.300003,167.880005,168.559998,161.676315,2123400
2016-06-13,168.449997,168.639999,167.110001,167.130005,160.304733,2129900
2016-06-14,167.289993,167.809998,166.600006,167.610001,160.765137,2021400
2016-06-15,167.949997,168.860001,167.470001,167.800003,160.947372,1694200
2016-06-16,167.350006,170.389999,166.619995,169.929993,162.990387,2632100
2016-06-17,169.990005,170.000000,168.419998,168.940002,162.040833,3448000
2016-06-20,170.899994,172.800003,170.529999,171.229996,164.237289,2162800
2016-06-21,171.179993,171.970001,171.059998,171.369995,164.371582,1889100
2016-06-22,171.830002,172.600006,170.990005,171.229996,164.237289,1369600
